State, FacilityName, FacilityID, UnitID, Year, Latitude,Longitude
AL,Gorgas,8,10,2013,33.6446,-87.2003
AL,Gorgas,8,10,2014,33.6446,-87.2003
AL,Gorgas,8,6,2010,33.6446,-87.2003
AL,Gorgas,8,6,2011,33.6446,-87.2003
AL,Gorgas,8,6,2012,33.6446,-87.2003
AL,Gorgas,8,6,2013,33.6446,-87.2003
AL,Gorgas,8,6,2014,33.6446,-87.2003
AL,Gorgas,8,7,2010,33.6446,-87.2003
AL,Gorgas,8,7,2011,33.6446,-87.2003
AL,Gorgas,8,7,2012,33.6446,-87.2003
AL,Gorgas,8,7,2013,33.6446,-87.2003
AL,Gorgas,8,7,2014,33.6446,-87.2003
AL,Gorgas,8,8,2010,33.6446,-87.2003
AL,Gorgas,8,8,2011,33.6446,-87.2003
AL,Gorgas,8,8,2012,33.6446,-87.2003
AL,Gorgas,8,8,2013,33.6446,-87.2003
AL,Gorgas,8,8,2014,33.6446,-87.2003
AL,Gorgas,8,9,2010,33.6446,-87.2003
AL,Gorgas,8,9,2011,33.6446,-87.2003
AL,Gorgas,8,9,2012,33.6446,-87.2003
AL,Gorgas,8,9,2013,33.6446,-87.2003
AL,Gorgas,8,9,2014,33.6446,-87.2003
AL,Greene County,10,1,2010,32.6017,-87.7811
AL,Greene County,10,1,2011,32.6017,-87.7811
AL,Greene County,10,1,2012,32.6017,-87.7811
AL,Greene County,10,1,2013,32.6017,-87.7811
AL,Greene County,10,1,2014,32.6017,-87.7811
AL,Greene County,10,2,2010,32.6017,-87.7811
AL,Greene County,10,2,2011,32.6017,-87.7811
AL,Greene County,10,2,2012,32.6017,-87.7811
AL,Greene County,10,2,2013,32.6017,-87.7811
AL,Greene County,10,2,2014,32.6017,-87.7811
AL,Greene County,10,CT10,2010,32.6017,-87.7811
AL,Greene County,10,CT10,2011,32.6017,-87.7811
AL,Greene County,10,CT10,2012,32.6017,-87.7811
AL,Greene County,10,CT10,2013,32.6017,-87.7811
AL,Greene County,10,CT10,2014,32.6017,-87.7811
AL,Greene County,10,CT2,2010,32.6017,-87.7811
AL,Greene County,10,CT2,2011,32.6017,-87.7811
AL,Greene County,10,CT2,2012,32.6017,-87.7811
AL,Greene County,10,CT2,2013,32.6017,-87.7811
AL,Greene County,10,CT2,2014,32.6017,-87.7811
AL,Greene County,10,CT3,2010,32.6017,-87.7811
AL,Greene County,10,CT3,2011,32.6017,-87.7811
AL,Greene County,10,CT3,2012,32.6017,-87.7811
AL,Greene County,10,CT3,2013,32.6017,-87.7811
AL,Greene County,10,CT3,2014,32.6017,-87.7811
AL,Greene County,10,CT4,2010,32.6017,-87.7811
AL,Greene County,10,CT4,2011,32.6017,-87.7811
AL,Greene County,10,CT4,2012,32.6017,-87.7811
AL,Greene County,10,CT4,2013,32.6017,-87.7811
AL,Greene County,10,CT4,2014,32.6017,-87.7811
AL,Greene County,10,CT5,2010,32.6017,-87.7811
AL,Greene County,10,CT5,2011,32.6017,-87.7811
AL,Greene County,10,CT5,2012,32.6017,-87.7811
AL,Greene County,10,CT5,2013,32.6017,-87.7811
AL,Greene County,10,CT5,2014,32.6017,-87.7811
AL,Greene County,10,CT6,2010,32.6017,-87.7811
AL,Greene County,10,CT6,2011,32.6017,-87.7811
AL,Greene County,10,CT6,2012,32.6017,-87.7811
AL,Greene County,10,CT6,2013,32.6017,-87.7811
AL,Greene County,10,CT6,2014,32.6017,-87.7811
AL,Greene County,10,CT7,2010,32.6017,-87.7811
AL,Greene County,10,CT7,2011,32.6017,-87.7811
AL,Greene County,10,CT7,2012,32.6017,-87.7811
AL,Greene County,10,CT7,2013,32.6017,-87.7811
AL,Greene County,10,CT7,2014,32.6017,-87.7811
AL,Greene County,10,CT8,2010,32.6017,-87.7811
AL,Greene County,10,CT8,2011,32.6017,-87.7811
AL,Greene County,10,CT8,2012,32.6017,-87.7811
AL,Greene County,10,CT8,2013,32.6017,-87.7811
